Optimize Ventures and Networks Private Limited,469,Unregistered,AADCO6082E,"2001, Flat no.20 Estella C wing Vijay Nagar Road Near JP infra
Mira Road East","2001, Flat no.20 Estella C wing Vijay Nagar Road Near JP infra
Mira Road East",998314,Maharashtra
Sunshine Enterprises,893,Unregistered,BBBPG5640K,"Shop No.36, Bhoomi Heights,  Plot No.5/6,, Sector 08, Kharghar, Navi Mumbai 410210","Shop No.36, Bhoomi Heights,  Plot No.5/6,, Sector 08, Kharghar, Navi Mumbai 410210",998314,Maharashtra
La Mer Developers Private Limited,1360,27AAECL6030A1Z1,AAECL6030A,"Shop No 21 Plot No 1, Full Stop,, Sector 19, Navi Mumbai, Thane,, Maharashtra, 400705.","Shop No 21 Plot No 1, Full Stop,, Sector 19, Navi Mumbai, Thane,, Maharashtra, 400705.",998314,Maharashtra
Paryapt Infrastructure Private Limited,1227,06AALCP4951F1ZA,AALCP4951F,"North Block, 6Th Floor, M3M Tee Point, Sector-65, Gurugram Haryana, 122101","North Block, 6Th Floor, M3M Tee Point, Sector-65, Gurugram Haryana, 122101",998314,Haryana
Union Buildmart Private Limited,1226,06AABCU4843M1Z1,AABCU4843M,"North Block, 6Th Floor, M3M Tee Point, Sector-65, Gurugram Haryana, 122101","North Block, 6Th Floor, M3M Tee Point, Sector-65, Gurugram Haryana, 122101",998314,Haryana
K & M Sheltors Pvt Ltd,1253,27AABCK6990K1ZZ,AABCK6990K,"Darus Salaam A Bungalow,, 18-A Kane Road, Bandra (W),, Mumbai - 400050.","Darus Salaam A Bungalow,, 18-A Kane Road, Bandra (W),, Mumbai - 400050.",998314,Maharashtra
Universal Developers,1037,29AABFU5594J1ZJ,AABFU5594J,"G-1-H.A. ARCADE, 872, 17TH E MAIN, 6TH, BLOCK, KORAMANGALA, BENGALURU,, Bengaluru Urban, Karnataka, 560095","G-1-H.A. ARCADE, 872, 17TH E MAIN, 6TH, BLOCK, KORAMANGALA, BENGALURU,, Bengaluru Urban, Karnataka, 560095",998314,Karnataka
Jairaj Realty Unit 9 Llp,1377,27AAOFS6123L1ZP,AAOFS6123L,"Level No 8, Opp Regency Classic, Solitaire World, Pune Banglore Highway, Pune, Pune, Maharashtra, 411045","Level No 8, Opp Regency Classic, Solitaire World, Pune Banglore Highway, Pune, Pune, Maharashtra, 411045",998314,Maharashtra
Millennium Realty,1153,Unregistered,ALPPJ0482M,"Millennium Group, Gehlot Complex, Plot No 28 A,, Shop No. 7, Sector-10, Nerul, Navi Mumbai,, Maharashtra, India - 400706.","Millennium Group, Gehlot Complex, Plot No 28 A,, Shop No. 7, Sector-10, Nerul, Navi Mumbai,, Maharashtra, India - 400706.",998314,Maharashtra
Marne Group (maithili Square),1399,27ABOFM7310C1ZD,ABOFM7310C,"Office no -109, First Floor, Maithili Empire,, Shivshambhu Colony , Near Kohili, gas godown, Adarsh Nagar, Kiwale,, pune - 412101.","Office no -109, First Floor, Maithili Empire,, Shivshambhu Colony , Near Kohili, gas godown, Adarsh Nagar, Kiwale,, pune - 412101.",998314,Maharashtra
Mentors Real Estate Advisory Private Limited,1296,27AAPCM5076Q1ZG,AAPCM5076Q,"Bldg No. 22, Flat No. 601, Avenue J, Naringi Road, Vasai Virar, Palghar, Maharashtra, 401303","Bldg No. 22, Flat No. 601, Avenue J, Naringi Road, Vasai Virar, Palghar, Maharashtra, 401303",998314,Maharashtra
Ma-nya Infra,1156,29AAVFM9490R1ZO,AAVFM9490R,"FLAT 169.168 Green House Layout,, doddathoguru, Bengaluru Rural, Karnataka,, 561229.","FLAT 169.168 Green House Layout,, doddathoguru, Bengaluru Rural, Karnataka,, 561229.",998314,Karnataka
